URL,Headline,Publish Date,Publication Reach,Article Reach,Publication Name,Publication Location,Language,Brand,Content Type,Story Prominence,Authors
https://www.startupresearcher.com/news/singapore-ai-startup-i10x-raises-usd1-million-to-drive-innovation,Singapore AI Startup i10x Raises $1 million to Drive Innovation,08 Jan 2026,NA,NA,startupresearcher.com,United States,English,Antler,General News,Feature Story,NA
https://www.europesays.com/2686857/,Meet The Top 10 Indian Startup Investors Of 2025,07 Jan 2026,11285,81,europesays.com,Germany,English,Antler,Stock News,Industry Story,NA
https://portal.megabrasil.com.br/anuario/noticias/ler/13637/um-novo-capitulo-profissional,Um novo capítulo profissional,07 Jan 2026,NA,NA,portal.megabrasil.com.br,Brazil,Portuguese,Antler,General News,Passing Mention,NA
https://uk.finance.yahoo.com/news/25-30-comes-ai-founders-130000077.html,"25 is the new 30 when it comes to AI founders as Gen Z entrepreneurs lead the way on billion-dollar unicorn startups, top VC partner says",07 Jan 2026,NA,NA,uk.finance.yahoo.com,United Kingdom,English,Antler,General News,Feature Story,NA
https://evrimagaci.org/gpt/singapore-ai-startups-drive-decentralized-robotics-and-automation-522929,Singapore AI Startups Drive Decentralized Robotics And Automation,07 Jan 2026,1619214,15701,evrimagaci.org,Turkey,Turkish,Antler,General News,Passing Mention,NA
https://dnyuz.com/2026/01/07/25-is-the-new-30-when-it-comes-to-ai-founders-as-gen-z-entrepreneurs-lead-the-way-on-billion-dollar-unicorn-startups-top-vc-partner-says/,"25 is the new 30 when it comes to AI founders as Gen Z entrepreneurs lead the way on billion-dollar unicorn startups, top VC partner says",07 Jan 2026,393124,4395,dnyuz.com,United States,English,Antler,General News,Feature Story,NA
https://www.business-standard.com/companies/start-ups/indian-startups-ai-applications-2026-missing-infra-boom-126010701039_1.html,India's startups turn to AI applications in 2026 after missing infra boom,07 Jan 2026,10286585,129803,business-standard.com,India,English,Antler,General News,Feature Story,Peerzada Abrar
https://culturaenegocios.com.br/inbazz-oferece-plataforma-para-ampliar-integralmente-a-eficiencia-de-campanhas-com-creators-em-80/,Inbazz oferece plataforma para ampliar integralmente a eficiência de campanhas com creators em 80%,07 Jan 2026,14857,26,culturaenegocios.com.br,Brazil,Portuguese,Antler,General News,Passing Mention,NA
https://beamstart.com/news/singapores-i10x-raises-1m-pre-17677758748862,Singapore's i10X Secures $1M Pre-Seed Funding to Revolutionize AI Discovery and Distribution,07 Jan 2026,32109,206,beamstart.com,Singapore,English,Antler,General News,Passing Mention,NA
https://fortune.com/2026/01/07/25-is-the-new-30-gen-z-ai-unicorn-founders-antler-venture-capital/,"25 is the new 30 when it comes to AI founders as Gen Z entrepreneurs lead the way on billion-dollar unicorn startups, top VC partner says",07 Jan 2026,29813590,168903,fortune.com,United States,English,Antler,General News,Feature Story,Nick Lichtenberg
https://itbusinessnet.com/2026/01/i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai/,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,07 Jan 2026,3677,12,itbusinessnet.com,Australia,English,Antler,General News,Passing Mention,NA
https://www.finsmes.com/2026/01/i10x-raises-1m-in-pre-seed-funding.html,i10X Raises $1M in Pre-Seed Funding,07 Jan 2026,277107,622,finsmes.com,United Kingdom,English,Antler,General News,Passing Mention,NA
https://www.modernfinanceonline.com/article/880928413-i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,07 Jan 2026,NA,NA,modernfinanceonline.com,United States,English,Antler,General News,Passing Mention,NA
https://www.agriland.co.uk/farming-news/dairy-tech-2026-three-finalists-on-royal-diary-innovation-award-shortlist/,Dairy-Tech 2026: Three finalists on Royal Diary Innovation Award shortlist,07 Jan 2026,42235,61,agriland.co.uk,United Kingdom,English,Antler,General News,Passing Mention,NA
https://siuleeboss.com/ai-news/ai-aggregation-platform-2026-2026-01-07/,I10X AI聚合平台融资100万美元：2026年中小企业如何通过单一订阅解锁500+AI工具革命？,07 Jan 2026,NA,NA,siuleeboss.com,Taiwan,Chinese,Antler,General News,Passing Mention,NA
https://cn.technode.com/post/2026-01-07/sg-i10x-raises-1m-pre-seed-funding/,新加坡AI聚合平台I10X完成100万美元Pre-Seed轮融资,07 Jan 2026,5773,13,cn.technode.com,India,English,Antler,General News,Passing Mention,NA
https://technode.global/2026/01/07/singapores-i10x-raises-1m-pre-seed-funding-to-build-the-discovery-and-distribution-layer-for-ai/,Singapore's i10X raises $1M Pre-Seed funding to build the discovery and distribution layer for AI,07 Jan 2026,83668,105,technode.global,Singapore,English,Antler,General News,Passing Mention,NA
http://www.streetinsider.com/Globe+Newswire/i10X+Announces+%241+Million+Pre-Seed+Round+to+Build+the+Discovery+%26amp%3B+Distribution+Layer+for+AI/25812529.html,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,07 Jan 2026,177671,1188,streetinsider.com,United States,English,Antler,General News,Passing Mention,NA
http://www.streetinsider.com/Globe+Newswire/i10X+Announces+%241+Million+Pre-Seed+Round+to+Build+the+Discovery+%26+Distribution+Layer+for+AI/25812528.html,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,07 Jan 2026,177671,1188,streetinsider.com,United States,English,Antler,General News,Passing Mention,NA
https://www.entrepreneurindia.com/blog/en/article/why-vcs-and-lenders-signal-shift-to-selective-capital-and-better-design-in-2026.58639,Why VCs and Lenders Signal Shift to Selective Capital and Better Design in 2026,07 Jan 2026,NA,NA,entrepreneurindia.com,India,English,Antler,Stock News,Feature Story,NA
https://menafn.com/1110563996/I10x-Announces-1-Million-Pre-Seed-Round-To-Build-The-Discovery-Distribution-Layer-For-AI,I10x Announces $1 Million Pre-Seed Round To Build The Discovery & Distribution Layer For AI,07 Jan 2026,113113,11877,menafn.com,United Arab Emirates,English,Antler,General News,Passing Mention,NA
https://uknewshour.com/i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai/2026/173745/,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,uknewshour.com,United Kingdom,English,Antler,General News,Passing Mention,NA
https://www.todayontheinternet.com/article/880928413-i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,todayontheinternet.com,India,English,Antler,General News,Passing Mention,NA
https://www.rhodeislandbusinessdaily.com/article/880928413-i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,rhodeislandbusinessdaily.com,United States,English,Antler,General News,Passing Mention,NA
https://www.valuespectrum.com/corporate_news/1367856-i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,22279,NA,valuespectrum.com,United States,English,Antler,General News,Passing Mention,NA
https://www.globalmediawatch.com/article/880928413-i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,globalmediawatch.com,United States,English,Antler,General News,Passing Mention,NA
https://www.artssocietyandme.com/article/880928413-i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,artssocietyandme.com,United Kingdom,English,Antler,General News,Passing Mention,NA
https://www.mangaloremirror.com/i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai/,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,1488,99,mangaloremirror.com,India,English,Antler,General News,Passing Mention,NA
https://pr.washingtoncitypaper.com/article/i10X-Announces-dollar1-Million-Pre-Seed-Round-to-Build-the-Discovery-andamp-Distribution-Layer-for-AI?storyId=695d65e9eb1c137304e2219e,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,pr.washingtoncitypaper.com,United States,English,Antler,General News,Passing Mention,NA
https://www.itnewsonline.com/GlobeNewswire/i10X-Announces-USD1-Million-Pre-Seed-Round-to-Build-the-Discovery--Distribution-Layer-for-AI/113338,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,719,5,itnewsonline.com,India,English,Antler,General News,Passing Mention,NA
https://pr.mysugarhousejournal.com/article/i10X-Announces-dollar1-Million-Pre-Seed-Round-to-Build-the-Discovery-andamp-Distribution-Layer-for-AI?storyId=695d65e9eb1c137304e2219e,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI GlobeNewswire | i10x.ai Today at 8:39pm GMT+1,06 Jan 2026,NA,NA,pr.mysugarhousejournal.com,United States,English,Antler,General News,Passing Mention,NA
https://smb.alexcityoutlook.com/article/i10X-Announces-dollar1-Million-Pre-Seed-Round-to-Build-the-Discovery-andamp-Distribution-Layer-for-AI?storyId=695d65e9eb1c137304e2219e,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,smb.alexcityoutlook.com,United States,English,Antler,General News,Passing Mention,NA
https://pr.midvalejournal.com/article/i10X-Announces-dollar1-Million-Pre-Seed-Round-to-Build-the-Discovery-andamp-Distribution-Layer-for-AI?storyId=695d65e9eb1c137304e2219e,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,pr.midvalejournal.com,United States,English,Antler,General News,Passing Mention,NA
https://beta.manilatimes.net/2026/01/07/tmt-newswire/globenewswire/i10x-announces-1-million-pre-seed-round-to-build-the-discovery-distribution-layer-for-ai/2254092,i10X Announces $1 Million Pre-Seed Round to Build the Discovery & Distribution Layer for AI,06 Jan 2026,NA,NA,beta.manilatimes.net,Philippines,English,Antler,General News,Passing Mention,NA
