URL;Headline;Publish Date;Publication Name;Publication Location;Brand
http://askwiki.blogspot.com/2025/11/from-snapmint-to-snabbit-indian.html;From Snapmint To Snabbit — Indian Startups Raised $371 Mn This Week;01 Nov 2025;askwiki.blogspot.com;India;Antler
http://business.inyoregister.com/inyoregister/article/marketersmedia-2025-10-29-no-funding-no-problem-european-immigrant-founders-build-profitable-fintech-startup-in-southeast-asia-without-venture-capital;No Funding, No Problem: European Immigrant Founders Build Profitable Fintech Startup in Southeast Asia Without Venture Capital;29 Oct 2025;business.inyoregister.com;United States;Antler
http://business.punxsutawneyspirit.com/punxsutawneyspirit/article/marketersmedia-2025-10-29-no-funding-no-problem-european-immigrant-founders-build-profitable-fintech-startup-in-southeast-asia-without-venture-capital;No Funding, No Problem: European Immigrant Founders Build Profitable Fintech Startup in Southeast Asia Without Venture Capital;29 Oct 2025;business.punxsutawneyspirit.com;United States;Antler
http://business.theeveningleader.com/theeveningleader/article/marketersmedia-2025-10-29-no-funding-no-problem-european-immigrant-founders-build-profitable-fintech-startup-in-southeast-asia-without-venture-capital;No Funding, No Problem: European Immigrant Founders Build Profitable Fintech Startup in Southeast Asia Without Venture Capital;29 Oct 2025;business.theeveningleader.com;United States;Antler
http://money.mymotherlode.com/clarkebroadcasting.mymotherlode/article/marketersmedia-2025-10-29-no-funding-no-problem-european-immigrant-founders-build-profitable-fintech-startup-in-southeast-asia-without-venture-capital;No Funding, No Problem: European Immigrant Founders Build Profitable Fintech Startup in Southeast Asia Without Venture Capital;29 Oct 2025;money.mymotherlode.com;United States;Antler
https://24victoria.dk/artificial-and-intelligence-deep-tech/ai-first-hackaton-kobenhavn;Stort AI-hackaton rammer København;02 Nov 2025;24victoria.dk;Denmark;Antler
https://9krapalm.com/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/;ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens;31 Oct 2025;9krapalm.com;Thailand;Antler
https://aidigitalnews.com/ai/12-indian-deep-tech-startups-backed-by-iits/;12 Indian Deep Tech Startups Backed by IITs;01 Nov 2025;aidigitalnews.com;United States;Antler
https://aijourn.com/no-funding-no-problem-european-immigrant-founders-build-profitable-fintech-startup-in-southeast-asia-without-venture-capital/;No Funding, No Problem: European Immigrant Founders Build Profitable Fintech Startup in Southeast Asia Without Venture Capital;29 Oct 2025;aijourn.com;United States;Antler
https://analyticsindiamag.com/ai-trends/12-indian-deep-tech-startups-backed-by-iits/;12 Indian Deep Tech Startups Backed by IITs;01 Nov 2025;analyticsindiamag.com;India;Antler
https://b2b.economictimes.indiatimes.com/news/entrepreneur/redacto-secures-12-crore-seed-funding-to-enhance-ai-driven-privacy-solutions/124939850;Redacto raises ₹12 crore seed funding led by PeerCapital and Antler India;30 Oct 2025;b2b.economictimes.indiatimes.com;India;Antler
https://boainformacao.com.br/2025/10/glid-esta-construindo-um-atalho-autonomo-para-transportar-cargas-da-rodovia-para-a-ferrovia-veja-o-no-techcrunch-disrupt-2025/;Glīd está construindo um atalho autônomo para transportar cargas da rodovia para a ferrovia – veja-o no TechCrunch Disrupt 2025;27 Oct 2025;boainformacao.com.br;Brazil;Antler
https://bootstrapping.dk/kv-25-startups-jeg-har-laert-paa-egen-krop-at-holde-mig-langt-vaek-fra-kommunale-udbud/;"KV '25 &amp; startups: ”Jeg har lært på egen krop at holde mig langt væk fra kommunale udbud”";29 Oct 2025;bootstrapping.dk;Denmark;Antler
https://businessday.ng/news/article/kora-set-to-lead-conversations-on-ais-future-in-africa/;Kora set to lead conversations on AI’s future in Africa;28 Oct 2025;businessday.ng;Nigeria;Antler
https://cisoforum.in/redacto-raises-%e2%82%b912-crore-to-lead-indias-privacy-tech-revolution-ahead-of-the-dpdp-act/;Redacto Raises ₹12 Crore to Lead India's Privacy-Tech Revolution Ahead of the DPDP Act;31 Oct 2025;cisoforum.in;India;Antler
