URL,Headline,Publish Date,Publication Reach,Article Reach,Publication Name,Publication Location,Language,Brand,Content Type,Story Type,Authors
https://www.thehindubusinessline.com/info-tech/zupee-to-expand-into-ai-driven-interactive-storytelling-acquires-australian-firm-nucanon/article70235767.ece,Zupee to expand into AI-driven interactive storytelling; acquires Australian firm Nucanon,03 Nov 2025,1698565,18540,thehindubusinessline.com,India,English,Antler,General News,Passing Mention,NA
https://www.outlookbusiness.com/start-up/news/zupee-to-expand-into-ai-driven-interactive-storytelling-acquires-australian-firm-nucanon,Zupee to Expand into AI-Driven Interactive Storytelling; Acquires Australian Firm Nucanon,03 Nov 2025,518423,1676,outlookbusiness.com,India,English,Antler,General News,Passing Mention,NA
https://www.newsdrum.in/business/zupee-to-expand-into-ai-driven-interactive-storytelling-acquires-australian-firm-nucanon-10618241,Zupee to expand into AI-driven interactive storytelling; acquires Australian firm Nucanon,03 Nov 2025,65788,814,newsdrum.in,India,English,Antler,General News,Passing Mention,NA
https://money.rediff.com/news/market/zupee-acquires-nucanon-for-ai-storytelling/36285720251103,Zupee Acquires Nucanon for AI Storytelling,03 Nov 2025,2357858,270068,money.rediff.com,India,English,Antler,General News,Passing Mention,NA
https://www.moneycontrol.com/news/business/startup/zupee-acquires-australian-ai-startup-nucanon-for-interactive-storytelling-push-13648883.html,Zupee acquires Australian AI startup Nucanon for interactive storytelling push,03 Nov 2025,58481808,6543158,moneycontrol.com,India,English,Antler,General News,Passing Mention,NA
https://www.smartcompany.com.au/startupsmart/giftbee-raises-1-million-help-australians-use-unwanted-gift-cards/,Giftbee raises $1 million to help Australians use their unwanted gift cards,02 Nov 2025,216777,841,smartcompany.com.au,Australia,English,Antler,General News,Industry Story,Morganne Kopittke
https://24victoria.dk/artificial-and-intelligence-deep-tech/ai-first-hackaton-kobenhavn,Stort AI-hackaton rammer København,02 Nov 2025,NA,NA,24victoria.dk,Denmark,Danish,Antler,General News,Passing Mention,NA
https://pulse2.com/steven-bartletts-steven-com-hits-425-million-valuation-following-investment-round/,Steven Bartlett's Steven.com Hits $425 Million Valuation Following Investment Round,02 Nov 2025,35222,223,pulse2.com,United States,English,"Lovable,Antler","General News, General News","Industry Story,Industry Story",Amit chowdhry
https://www.blogarama.com/technology-blogs/1389324-analytics-india-magazine-blog/71145080-indian-deep-tech-startups-backed-iits,12 Indian Deep Tech Startups Backed by IITs,01 Nov 2025,19415,130,blogarama.com,India,English,Antler,General News,Passing Mention,NA
https://kashmirdespatch.com/jkedi-msme-partnership-brings-national-venture-funds-to-jk-startups-under-sri-fund/,JKEDI–MSME Partnership Brings National Venture Funds to J&amp;K Startups under SRI Fund,01 Nov 2025,9200,187,kashmirdespatch.com,India,English,Antler,General News,Passing Mention,Kashmir Despatch
https://kashmirlife.net/national-venture-funds-connect-with-jammu-kashmir-startups-at-first-sri-fund-outreach-in-srinagar-411760/,National Venture Funds Connect with Jammu Kashmir Startups at First SRI Fund Outreach in Srinagar,01 Nov 2025,247861,5881,kashmirlife.net,India,English,Antler,General News,Passing Mention,NA
https://t-id.obnews.co/Index/flowNewsDetail/id/12599766.html?val=2429ccd5bccf561fb33d4d3a24644b48,From Snapmint To Snabbit — Indian Startups Raised $371 Mn This Week,01 Nov 2025,NA,NA,t-id.obnews.co,Indonesia,English,Antler,General News,Passing Mention,NA
https://aidigitalnews.com/ai/12-indian-deep-tech-startups-backed-by-iits/,12 Indian Deep Tech Startups Backed by IITs,01 Nov 2025,NA,NA,aidigitalnews.com,United States,English,Antler,General News,Passing Mention,NA
http://askwiki.blogspot.com/2025/11/from-snapmint-to-snabbit-indian.html,From Snapmint To Snabbit — Indian Startups Raised $371 Mn This Week,01 Nov 2025,NA,NA,askwiki.blogspot.com,India,English,Antler,General News,Passing Mention,NA
https://obnews.co/Index/flowNewsDetail/id/12598024.html?val=d1ef6603f31683a4bb5fdee9d3eb7609,"From Snapmint To Snabbit — Indian Startups Raised $371 Mn This Week by：Sat, 01 Nov 2025 04:02:10",01 Nov 2025,304636,6128,obnews.co,Indonesia,English,Antler,General News,Passing Mention,NA
https://obnews.co/Index/flowNewsDetail/id/12599766.html?val=2429ccd5bccf561fb33d4d3a24644b48,From Snapmint To Snabbit — Indian Startups Raised $371 Mn This Week,01 Nov 2025,304636,6128,obnews.co,Indonesia,English,Antler,General News,Passing Mention,NA
https://inc42.com/buzz/from-snapmint-to-snabbit-indian-startups-raised-371-mn-this-week/,From Snapmint To Snabbit — Indian Startups Raised $371 Mn This Week,01 Nov 2025,617578,11623,inc42.com,India,English,Antler,General News,Passing Mention,Akshit Pushkarna
https://analyticsindiamag.com/ai-trends/12-indian-deep-tech-startups-backed-by-iits/,12 Indian Deep Tech Startups Backed by IITs,01 Nov 2025,1102844,2008,analyticsindiamag.com,India,English,Antler,General News,Passing Mention,NA
https://www.danskindustri.dk/vi-radgiver-dig/ivarksatteri/varktojskasse/funding-oversigt-guide-til-startup-funding-i-danmark/,DI fundingoversigt: Guide til startup funding i Danmark,31 Oct 2025,NA,NA,danskindustri.dk,Denmark,Danish,Antler,General News,Passing Mention,NA
https://www.robertodiasduarte.com.br/fundadores-rebotadores-como-ex-big-techs-empreendem-apos-demissoes/,Fundadores Rebotadores: Como Ex-Big Techs Empreendem Após Demissões,31 Oct 2025,26440,160,robertodiasduarte.com.br,Brazil,Portuguese,Antler,General News,Passing Mention,NA
https://www.impactloop.se/artikel/de-ska-fa-oss-att-panta-luren-tar-in-miljoner-och-satter-ut-maskiner-pa-ica,De ska få oss att panta luren på Ica – nu tar Swappie-utmanaren in miljoner,31 Oct 2025,NA,NA,impactloop.se,Sweden,Swedish,Antler,General News,Passing Mention,NA
https://www.techedt.com/industrialmind-ai-raises-us1-2-million-to-bring-ai-powered-decision-making-to-manufacturing,IndustrialMind.ai raises US$1.2 million to bring AI-powered decision-making to manufacturing,31 Oct 2025,32978,158,techedt.com,Canada,English,Antler,General News,Passing Mention,NA
https://www.startus-insights.com/innovators-guide/how-many-ai-companies-are-there/,How Many AI Companies are There? A 2026 Global Breakdown,31 Oct 2025,204447,341,startus-insights.com,Austria,English,Antler,General News,Passing Mention,NA
https://www.startbase.de/news/startupnews-zum-wochenende-kw-44-25/,Startupnews zum Wochenende KW 44/25,31 Oct 2025,36932,53,startbase.de,Germany,German,Antler,General News,Passing Mention,NA
https://sgpgrid.com/cision-news/2f3c329ada3a50b741cdcb20f3be8d8be0921d2698214994b2268c90e650ee8f,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,456950,1203,sgpgrid.com,Egypt,English,Antler,General News,Passing Mention,NA
https://incubees.com/redacto-raises-rs-12-cr-seed-funding-from-peercapital/,Redacto raises Rs 12 Cr Seed funding from PeerCapital,31 Oct 2025,2596,23,incubees.com,India,English,Antler,General News,Passing Mention,Ila Dhond
https://cisoforum.in/redacto-raises-%e2%82%b912-crore-to-lead-indias-privacy-tech-revolution-ahead-of-the-dpdp-act/,Redacto Raises ₹12 Crore to Lead India's Privacy-Tech Revolution Ahead of the DPDP Act,31 Oct 2025,NA,NA,cisoforum.in,India,English,Antler,General News,Passing Mention,NA
https://www.newswire.in.th/prnewswire/en/view/37453,PR Newswire - ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,NA,NA,newswire.in.th,Thailand,English,Antler,General News,Passing Mention,NA
https://technode.global/2025/10/31/ex-tesla-team-launches-industrialmind-ai-raising-us1-2m/,"Former Tesla team launches IndustrialMind.ai, raising $1.2M",31 Oct 2025,83668,105,technode.global,Singapore,English,Antler,General News,Passing Mention,NA
https://mobiledista.com/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,6104,NA,mobiledista.com,China,English,Antler,General News,Passing Mention,NA
https://therealpreneur.com/funding/sweatpals-secures-12m-to-boost-fitness-social-connections/,Sweatpals Secures $12M to Boost Fitness Social Connections,31 Oct 2025,NA,NA,therealpreneur.com,India,English,Antler,General News,Passing Mention,NA
https://sgbonline.com/sweatpals-secures-12m-in-seed-funding/,Sweatpals Secures $12M in Seed Funding,31 Oct 2025,79274,57,sgbonline.com,United States,English,Antler,General News,Passing Mention,NA
https://www.straitstimes.com/paid-press-releases/rolo-robotics-raises-us345-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens-20251031,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,6596568,163157,straitstimes.com,Singapore,English,Antler,General News,Passing Mention,NA
https://themalaysianreserve.com/2025/10/31/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,NA,NA,themalaysianreserve.com,Malaysia,English,Antler,General News,Passing Mention,NA
https://9krapalm.com/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,11672,8,9krapalm.com,Thailand,English,Antler,General News,Passing Mention,NA
https://www.moneyfm893.sg/pr-newswire/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens-26829,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,55471,145,moneyfm893.sg,Singapore,English,Antler,General News,Passing Mention,NA
https://ohsem.me/2025/10/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,53829,6,ohsem.me,Malaysia,English,Antler,General News,Passing Mention,NA
https://scitechanddigital.news/2025/10/31/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,17111,NA,scitechanddigital.news,Philippines,English,Antler,General News,Passing Mention,NA
https://www.siamnews.net/pr-news/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,13198,1,siamnews.net,Thailand,English,Antler,General News,Passing Mention,NA
https://www.itnewsonline.com/PRNewswire/ROLO-Robotics-Raises-USUSD3.45-Million-in-Oversubscribed-Seed-Round-to-Scale-Autonomous-Micro-Kitchens/1090966,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,719,5,itnewsonline.com,India,English,Antler,General News,Passing Mention,NA
https://laotiantimes.com/2025/10/31/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,37063,211,laotiantimes.com,China,English,Antler,General News,Passing Mention,NA
https://pannaphat.me/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,7635,47,pannaphat.me,Egypt,English,Antler,General News,Passing Mention,NA
https://www.taiwannews.com.tw/en/news/6232664,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,1406151,5664,taiwannews.com.tw,Taiwan,English,Antler,General News,Passing Mention,NA
https://photos.aap.com.au/aapreleases/cision20251030AE11208,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,NA,NA,photos.aap.com.au,Australia,English,Antler,General News,Passing Mention,NA
https://www.siamnewsnetwork.net/pr-news/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,1450,9,siamnewsnetwork.net,Thailand,English,Antler,General News,Passing Mention,NA
https://www.thailandbusinessdirectory.net/press-release/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,4525,NA,thailandbusinessdirectory.net,Thailand,English,Antler,General News,Passing Mention,NA
https://blogchicks.com.au/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,NA,NA,blogchicks.com.au,Australia,English,Antler,General News,Passing Mention,NA
https://www.tmcnet.com/usubmit/2025/10/30/10281541.htm,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,37912,4905,tmcnet.com,United States,English,Antler,General News,Passing Mention,NA
https://en.prnasia.com/releases/apac/rolo-robotics-raises-us-3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens-509480.shtml,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,55544,19,en.prnasia.com,United States,English,Antler,General News,Passing Mention,NA
https://www.aap.com.au/aapreleases/cision20251030ae11208/,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,98107,570,aap.com.au,Australia,English,Antler,General News,Passing Mention,NA
https://uk.finance.yahoo.com/news/rolo-robotics-raises-us-3-020000895.html,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,NA,NA,uk.finance.yahoo.com,United Kingdom,English,Antler,General News,Passing Mention,NA
https://newswav.com/article/cbs-reveals-christmas-special-schedule-for-2025-A2510_xcQYId,CBS Reveals Christmas Special Schedule for 2025,31 Oct 2025,NA,NA,newswav.com,Malaysia,English,"Lovable,Antler","General News, General News","Industry Story,Industry Story",NA
https://www.prnewswire.com/apac/news-releases/rolo-robotics-raises-us3-45-million-in-oversubscribed-seed-round-to-scale-autonomous-micro-kitchens-302599686.html,ROLO Robotics Raises US$3.45 Million in Oversubscribed Seed Round to Scale Autonomous Micro-Kitchens,31 Oct 2025,1402416,15871,prnewswire.com,United States,English,Antler,General News,Passing Mention,NA
https://popculture.com/tv-shows/news/cbs-reveals-christmas-special-schedule-for-2025/,CBS Reveals Christmas Special Schedule for 2025,31 Oct 2025,283438,1308,popculture.com,United States,English,"Lovable,Antler","General News, General News","Industry Story,Industry Story",Megan Behnke
https://www.startupmag.de/atechx-demo-day-pitch-night-am-13-november-in-berlin/,ATechX Demo Day &amp; Pitch Night am 13. November in Berlin,31 Oct 2025,NA,NA,startupmag.de,Germany,German,Antler,General News,Industry Story,NA
https://menafn.com/1110268883/CryptoKnights-Heads-to-OSN-and-OSNtv-BringingWeb3-Reality-TV-to-Middle-East-Screens,"CryptoKnights Heads to OSN+ and OSNtv, BringingWeb3 Reality TV to Middle East Screens",30 Oct 2025,113113,11877,menafn.com,United Arab Emirates,English,Antler,General News,Industry Story,NA
https://startupnews.fyi/2025/10/31/redacto-raises-rs-12-cr-in-seed-round-led-by-peercapital/,Redacto raises Rs 12 Cr in seed round led by PeerCapital,30 Oct 2025,103295,733,startupnews.fyi,India,English,Antler,General News,Passing Mention,NA
